,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28W03.wav
459,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12N13.wav
727,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N44.wav
265,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N12.wav
648,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W21.wav
2729,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M08N02.wav
705,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N02.wav
1174,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A37.wav
2871,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24S01.wav
1973,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M07W01.wav
1628,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02A16.wav
1245,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A24.wav
2911,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48N09.wav
1445,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44N04.wav
148,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M20A03.wav
2908,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16N04.wav
1511,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A56.wav
900,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M10N01.wav
604,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A42.wav
423,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26W03.wav
763,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S09.wav
2506,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M20W04.wav
2775,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S36.wav
799,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M33N01.wav
1768,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N31.wav
1676,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N21.wav
1596,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S10.wav
2803,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N33.wav
1414,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M15A10.wav
2052,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A12.wav
1745,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A03.wav
1725,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A46.wav
767,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S19.wav
1362,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A11.wav
98,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A04.wav
2551,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21N04.wav
2051,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N57.wav
2202,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N51.wav
1558,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N24.wav
2996,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N35.wav
310,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M06S03.wav
608,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05A03.wav
1194,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N06.wav
2842,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A03.wav
1014,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A20.wav
485,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43A08.wav
187,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A14.wav
1701,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A12.wav
1081,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M41W01.wav
370,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F20H01.wav
1876,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A22.wav
1947,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02S03.wav
1552,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F15N01.wav
36,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51S01.wav
1210,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A08.wav
1700,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A10.wav
2556,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F20N08.wav
1780,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M18N06.wav
1513,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29N02.wav
1919,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N30.wav
201,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44W01.wav
190,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N01.wav
545,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F14N01.wav
2821,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A19.wav
1679,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M01H01.wav
130,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N58.wav
174,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/M10F01.wav
2261,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N73.wav
580,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W18.wav
1591,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N14.wav
2380,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46W01.wav
2457,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F27H01.wav
656,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21A01.wav
287,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S02.wav
919,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01S15.wav
1535,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A15.wav
2733,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N05.wav
1681,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S04.wav
615,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28N12.wav
2716,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F18S01.wav
72,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A13.wav
1368,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N75.wav
1604,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24S18.wav
331,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23H05.wav
153,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30S05.wav
1402,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A30.wav
689,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S11.wav
1753,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03N05.wav
408,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H17.wav
2648,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02H02.wav
1380,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22S07.wav
1691,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24N09.wav
2794,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02N04.wav
621,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F04N01.wav
2845,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02N04.wav
2623,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04W01.wav
1937,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28N02.wav
342,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A14.wav
854,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N49.wav
724,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A21.wav
2464,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N71.wav
2950,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A10.wav
1044,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N25.wav
661,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12W01.wav
687,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22S10.wav
9,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A02.wav
2643,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N76.wav
2902,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22H01.wav
478,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A22.wav
117,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25W03.wav
1836,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05N18.wav
2087,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M55N05.wav
1939,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F06S09.wav
1181,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S06.wav
204,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01W05.wav
541,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A58.wav
584,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03S17.wav
199,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N54.wav
2872,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30S06.wav
836,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A07.wav
2456,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N45.wav
1046,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A11.wav
2595,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S06.wav
709,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16A25.wav
1611,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A17.wav
1347,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S15.wav
2350,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02W04.wav
2056,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N02.wav
2154,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W18.wav
686,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N06.wav
2742,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N22.wav
2923,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47N24.wav
1550,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09A09.wav
717,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N23.wav
272,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10N01.wav
563,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23A07.wav
1442,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53A25.wav
363,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W09.wav
759,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12W01.wav
1732,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A62.wav
551,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M11N03.wav
2129,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A29.wav
2476,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S08.wav
2588,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M20A06.wav
449,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22S13.wav
140,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N10.wav
2496,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S28.wav
436,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M54A01.wav
1250,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S08.wav
2414,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03W01.wav
1047,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44H01.wav
277,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A31.wav
2884,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N11.wav
2500,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07N05.wav
1212,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M19N06.wav
348,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A25.wav
2103,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A34.wav
1220,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M30A03.wav
506,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21N05.wav
622,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05A02.wav
2721,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N04.wav
735,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M15A13.wav
2944,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N16.wav
2638,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S32.wav
2140,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M13H02.wav
2963,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03W02.wav
1394,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N85.wav
2386,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05N05.wav
558,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S17.wav
2646,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S09.wav
1529,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F26F02.wav
1278,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N30.wav
1878,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A39.wav
316,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01N10.wav
1492,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43A15.wav
692,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M01W01.wav
2151,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/M38F01.wav
1205,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43N04.wav
203,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28N19.wav
2110,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M02A18.wav
2512,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A35.wav
520,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A06.wav
2600,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M34N04.wav
2190,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A60.wav
849,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N16.wav
869,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A22.wav
2946,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A01.wav
1886,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16N03.wav
2057,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S20.wav
1113,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F27A02.wav
1715,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N05.wav
1286,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A01.wav
821,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03W07.wav
427,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M24A02.wav
2465,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A04.wav
1282,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23S03.wav
2961,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N23.wav
1774,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30S02.wav
295,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M30A04.wav
1084,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A17.wav
2802,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M48A02.wav
1803,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N04.wav
942,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24S15.wav
2371,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N09.wav
1450,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29N04.wav
1590,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M23H02.wav
2689,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N07.wav
2692,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N22.wav
588,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S07.wav
56,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24S05.wav
502,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07W04.wav
1844,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M37N16.wav
748,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N03.wav
552,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09A04.wav
831,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F20W03.wav
2679,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21A04.wav
750,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04A12.wav
1318,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M40N17.wav
1957,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A27.wav
138,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43A07.wav
1915,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F03N01.wav
1452,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A34.wav
2191,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N30.wav
1966,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12F01.wav
1326,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F13A03.wav
2295,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22N03.wav
1344,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F25A01.wav
488,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F04A13.wav
2610,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M45N01.wav
1817,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03S04.wav
1060,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N09.wav
2139,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16A20.wav
2672,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N17.wav
1849,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M22N29.wav
1613,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N30.wav
2061,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W10.wav
2238,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M06N01.wav
2887,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07S16.wav
1349,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07W06.wav
1940,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N05.wav
162,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W07.wav
347,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12S11.wav
172,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M24N01.wav
2212,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A35.wav
1910,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F01A13.wav
414,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A36.wav
1466,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A18.wav
723,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A42.wav
302,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N31.wav
1889,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F17S01.wav
603,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28S11.wav
1626,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A34.wav
1870,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A31.wav
473,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/M07F02.wav
1437,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03A32.wav
1123,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16H03.wav
1462,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07N01.wav
974,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H03.wav
2661,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07H07.wav
34,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N07.wav
725,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05S10.wav
1490,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N31.wav
2346,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M55A01.wav
378,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21S01.wav
115,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21N11.wav
1671,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07N07.wav
924,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N54.wav
1760,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M32N03.wav
1262,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F17W01.wav
254,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A02.wav
1037,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M08N05.wav
1204,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A51.wav
1788,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46A04.wav
345,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S29.wav
2159,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N14.wav
406,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F22H02.wav
2979,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M16A02.wav
360,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A06.wav
641,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A55.wav
1157,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W03.wav
2149,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A06.wav
2166,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28A20.wav
101,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03W03.wav
2560,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24N06.wav
88,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A13.wav
1178,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M29A14.wav
2109,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A11.wav
916,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25S12.wav
2785,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N24.wav
1075,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F15A02.wav
2088,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25W10.wav
1832,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21F01.wav
720,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N75.wav
939,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A30.wav
1512,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30N04.wav
2904,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M26A38.wav
1,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F29N10.wav
1102,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A65.wav
2282,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A69.wav
2501,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M31N13.wav
1151,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30A03.wav
2995,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21N06.wav
1751,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M19S01.wav
2780,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F23N12.wav
326,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M21N09.wav
728,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F19N14.wav
2987,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A05.wav
2860,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A56.wav
2932,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N41.wav
1954,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28W04.wav
2412,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21W31.wav
1594,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M50A11.wav
1296,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N53.wav
2363,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M05A09.wav
2553,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F11N04.wav
586,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03N02.wav
672,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28N24.wav
1172,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M37A01.wav
1786,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F09S04.wav
577,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M44A01.wav
2341,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12N70.wav
1545,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M27N10.wav
791,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M47A19.wav
274,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F28N03.wav
1196,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M28A05.wav
63,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M43A12.wav
1135,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M15A12.wav
710,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/M24S04.wav
954,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M46N07.wav
179,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F07A10.wav
1308,S,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21S25.wav
1121,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21H06.wav
2277,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F02W03.wav
2978,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F10A47.wav
1637,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24H16.wav
2305,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24W12.wav
278,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M51N01.wav
1146,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M04N70.wav
2113,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M38N03.wav
2072,W,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25W04.wav
1830,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F05N08.wav
1486,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21N13.wav
308,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M12A32.wav
651,F,/data1/jiayu_xiao/project/wzh/data/persian_wav/M03F02.wav
1180,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F24A47.wav
880,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M53N08.wav
941,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25A51.wav
24,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F11N01.wav
1214,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/F30H04.wav
1007,A,/data1/jiayu_xiao/project/wzh/data/persian_wav/F21A26.wav
2255,H,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25H01.wav
955,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/F12N08.wav
28,N,/data1/jiayu_xiao/project/wzh/data/persian_wav/M25N21.wav
